Employee_ID,Department,Gender,Age,Education_Level,Job_Role,Monthly_Income,Years_At_Company,Years_In_Current_Role,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours_Last_Year,Last_Promotion_Years_Ago,Distance_From_Home,Overtime,Attrition,Marital_Status,Number_Of_Companies_Worked,Stock_Option_Level
1001,Sales,Female,28,Bachelor's Degree,Analyst,3822.0,23,0,3,2,1,24,3,29,Yes,No,Married,7,2
1002,Marketing,Female,36,Master's Degree,Manager,10125.0,31,11,1,1,5,61,1,14,No,Yes,Divorced,8,0
1003,Finance,Non-binary,28,PhD,Analyst,3256.0,33,12,3,5,1,83,11,2,Yes,Yes,Divorced,7,3
1004,Marketing,Male,18,High School,Intern,1279.0,0,0,3,3,4,0,0,48,Yes,No,Single,1,0
1005,Marketing,Non-binary,55,Bachelor's Degree,Team Lead,8221.0,1,4,1,3,3,1,7,22,Yes,No,Divorced,9,3
1006,IT,Non-binary,22,Associate's Degree,Intern,1012.0,0,0,5,1,3,0,0,47,No,Yes,Single,1,0
1007,Finance,Female,43,Bachelor's Degree,Manager,10853.0,22,3,5,1,4,98,10,6,No,Yes,Married,5,0
1008,Finance,Male,20,PhD,Intern,1351.0,0,0,2,1,3,0,0,9,Yes,Yes,Single,1,0
1009,Finance,Prefer not to say,58,High School,Team Lead,7147.0,11,18,5,1,5,16,13,12,No,Yes,Widowed,4,1
1010,Marketing,Female,22,Bachelor's Degree,Analyst,2195.0,16,10,4,4,5,62,9,42,No,No,Divorced,6,0
1011,Sales,Prefer not to say,31,PhD,Executive,3874.0,17,7,4,3,2,21,5,39,No,Yes,Divorced,4,1
1012,Finance,Prefer not to say,59,Associate's Degree,Analyst,2201.0,13,11,2,2,5,0,12,5,Yes,Yes,Widowed,5,0
1013,Marketing,Male,37,Master's Degree,Team Lead,6302.0,16,17,3,3,3,93,3,40,Yes,Yes,Married,6,2
1014,IT,Non-binary,29,Associate's Degree,Team Lead,8075.0,14,17,2,3,1,69,1,44,No,Yes,Divorced,1,1
1015,Sales,Male,46,High School,Manager,10376.0,11,8,1,3,2,53,4,1,No,No,Divorced,6,3
1016,IT,Prefer not to say,20,Associate's Degree,Intern,1025.0,0,0,2,1,1,0,0,10,Yes,Yes,Single,1,0
1017,Sales,Female,24,Associate's Degree,Intern,1039.0,0,0,2,1,3,0,0,11,Yes,No,Single,1,0
1018,Marketing,Prefer not to say,38,Associate's Degree,Analyst,4156.0,22,12,4,4,1,96,6,27,No,Yes,Divorced,7,3
1019,HR,Female,47,Associate's Degree,Executive,2542.0,37,5,1,3,3,52,8,23,Yes,Yes,Divorced,5,1
1020,Sales,Female,35,High School,Executive,3761.0,33,13,1,5,5,5,2,20,No,Yes,Single,8,2
1021,IT,Male,59,PhD,Manager,9366.0,33,14,2,4,2,89,5,5,Yes,No,Divorced,5,3
1022,Marketing,Prefer not to say,57,Bachelor's Degree,Team Lead,6700.0,15,13,1,1,4,63,8,13,Yes,No,Single,5,2
1023,Sales,Non-binary,44,Master's Degree,Manager,11816.0,33,3,1,3,3,87,10,10,Yes,Yes,Married,2,1
1024,HR,Prefer not to say,20,Bachelor's Degree,Intern,1281.0,0,0,5,1,5,0,0,49,Yes,No,Single,1,0
1025,HR,Prefer not to say,27,Bachelor's Degree,Team Lead,6024.0,6,0,1,2,1,71,5,36,No,No,Single,4,0
1026,Finance,Non-binary,26,Master's Degree,Manager,8068.0,32,11,3,1,5,43,13,41,Yes,Yes,Divorced,8,0
1027,Finance,Male,59,High School,Analyst,2040.0,3,8,1,1,1,33,14,16,Yes,No,Divorced,3,2
1028,IT,Prefer not to say,20,Master's Degree,Intern,1483.0,0,0,4,4,1,0,0,7,Yes,No,Single,1,0
1029,Sales,Prefer not to say,39,High School,Executive,3087.0,17,17,5,2,1,23,8,32,Yes,No,Divorced,7,1
1030,Sales,Female,34,Bachelor's Degree,Manager,9409.0,3,16,4,5,1,1,6,25,Yes,No,Divorced,9,1
1031,Finance,Prefer not to say,23,High School,Intern,1428.0,0,0,4,5,2,0,0,44,No,No,Single,1,0
1032,Sales,Non-binary,19,PhD,Intern,1285.0,0,0,3,5,1,0,0,26,No,Yes,Single,1,0
1033,Sales,Female,49,Master's Degree,Executive,2889.0,10,15,5,3,2,93,5,36,Yes,Yes,Divorced,2,3
1034,HR,Male,39,PhD,Executive,2681.0,14,6,2,5,4,31,10,28,No,Yes,Single,1,2
1035,Finance,Female,49,Bachelor's Degree,Executive,4859.0,16,8,1,3,2,55,10,44,Yes,No,Widowed,6,2
1036,Marketing,Non-binary,48,Master's Degree,Manager,11102.0,33,7,3,1,1,93,7,12,No,Yes,Widowed,8,1
1037,Finance,Non-binary,53,Bachelor's Degree,Executive,4462.0,11,6,3,5,4,6,14,26,Yes,No,Married,1,1
1038,Marketing,Female,30,PhD,Analyst,4037.0,27,9,2,4,5,47,5,4,Yes,Yes,Married,1,2
1039,HR,Male,21,Bachelor's Degree,Intern,1063.0,0,0,3,2,2,0,0,44,No,No,Single,1,0
1040,IT,Female,53,Master's Degree,Executive,4419.0,7,16,2,2,5,53,3,23,Yes,No,Single,5,2
1041,Sales,Male,22,Master's Degree,Intern,1110.0,0,0,2,1,4,0,0,40,Yes,No,Single,1,0
1042,HR,Female,49,Bachelor's Degree,Team Lead,7422.0,21,13,2,2,2,72,13,24,Yes,Yes,Single,4,1
1043,Sales,Non-binary,54,Master's Degree,Team Lead,5645.0,23,11,3,2,1,79,9,31,Yes,No,Widowed,1,3
1044,IT,Prefer not to say,25,Master's Degree,Executive,3674.0,1,1,2,1,2,1,7,30,Yes,Yes,Widowed,1,2
1045,IT,Prefer not to say,19,Bachelor's Degree,Intern,1328.0,0,0,3,1,1,0,0,3,No,No,Single,1,0
1046,HR,Male,24,PhD,Team Lead,6991.0,21,13,5,1,3,97,5,16,No,No,Married,5,1
1047,IT,Male,47,Master's Degree,Executive,4851.0,0,6,2,4,2,21,1,34,No,Yes,Widowed,5,1
1048,Marketing,Male,24,Master's Degree,Intern,1087.0,0,0,3,1,2,0,0,38,No,Yes,Single,1,0
1049,IT,Non-binary,27,Master's Degree,Executive,2363.0,24,3,3,1,5,63,3,28,Yes,No,Single,9,2
1050,Sales,Female,21,Master's Degree,Intern,1123.0,0,0,3,1,5,0,0,49,Yes,No,Single,1,0
1051,Sales,Non-binary,45,Bachelor's Degree,Team Lead,8196.0,35,16,1,5,4,48,7,44,No,No,Single,8,2
1052,Sales,Prefer not to say,59,PhD,Executive,3259.0,2,2,1,5,1,51,4,41,Yes,Yes,Divorced,9,3
1053,Sales,Male,51,PhD,Team Lead,8372.0,4,16,2,4,5,20,3,48,No,No,Married,8,3
1054,Marketing,Female,34,High School,Executive,4518.0,0,7,5,4,4,11,7,7,Yes,No,Divorced,8,3
1055,Finance,Prefer not to say,26,Master's Degree,Manager,11055.0,18,2,2,2,1,10,12,8,Yes,No,Married,8,0
